componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"SEMINÁRIOS EM ZOOTECNIA","PPIZ0001","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","LAUDÍ CUNHA LEITE","2T23","4","20","3","REGULAR","13/06/2023","CONSOLIDADA","PRESENCIAL"
"AVICULTURA E AVES DE INTERESSE ZOOTÉCNICO","PPIZ0003","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","VITTOR TUZZI ZANCANELA","5M2345","5","20","4","REGULAR","05/07/2023","CONSOLIDADA","PRESENCIAL"
"INTRODUÇÃO, AVALIAÇÃO E MANEJO DE PASTAGENS","PPIZ0007","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","BRAULIO MAIA DE LANA SOUSA, OSSIVAL LOLATO RIBEIRO","5T2345","2","20","2","REGULAR","07/06/2023","CONSOLIDADA","PRESENCIAL"
"MICROBIOLOGIA ZOOTÉCNICA","PPIZ0009","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","NORMA SUELY EVANGELISTA BARRETO","6M2345","6","20","5","REGULAR","13/06/2023","CONSOLIDADA","PRESENCIAL"
"PESQUISA E PRODUÇÃO DE PEQUENOS RUMINANTES","PPIZ0014","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","CARLO ALDROVANDI TORREAO MARQUES, GLADSTON RAFAEL DE ARRUDA SANTOS","4M2345","3","20","3","REGULAR","15/06/2023","CONSOLIDADA","PRESENCIAL"
"PESQUISA E PRODUÇÃO DE SUÍNOS","PPIZ0031","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","GREGORIO MURILO DE OLIVEIRA JUNIOR","2M2345","5","20","4","REGULAR","18/07/2023","CONSOLIDADA","PRESENCIAL"
"ENSINO DE HISTÓRIA: HISTÓRIA ORAL E NARRATIVA","PROFHIS0059","TURMA 01","NÃO INFORMADO","2 - 08:00h-12:00 Sala de aula 108B - DID VII","2023","1","06/03/2023","17/06/2023","JOAQUIM TAVARES DA CONCEICAO, PAULO HEIMAR SOUTO, JOÃO PAULO GAMA OLIVEIRA","2M2345","19","25","20","REGULAR","28/06/2023","CONSOLIDADA","PRESENCIAL"
"HISTÓRIA DO ENSINO DE HISTÓRIA","PROFHIS0038","TURMA 01","NÃO INFORMADO","2 - 13:00h-17:00 Sala de aula 108C - DID VII","2023","1","06/03/2023","17/06/2023","FÁBIO ALVES DOS SANTOS","2T1234","16","25","17","REGULAR","04/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA","PROFHIS0039","TURMA 01","NÃO INFORMADO","3 - 09:00h-12:00 Sala de aula 104B - DID VII","2023","1","06/03/2023","17/06/2023","JOSE VIEIRA DA CRUZ, LUCAS MIRANDA PINHEIRO","3M345","17","25","18","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"TEORIA DA HISTÓRIA","PROFHIS0037","TURMA 01","NÃO INFORMADO","3 - 13:00h-17:00 Sala de aula 301 - DID VII","2023","1","06/03/2023","17/06/2023","ITAMAR FREITAS DE OLIVEIRA","3T1234","21","25","22","REGULAR","19/07/2023","CONSOLIDADA","PRESENCIAL"
