id_unidade,nome,sigla,sigla_academica,id_unidade_responsavel,unidade_responsavel,id_unidade_gestora,unidade_gestora,id_gestora_academica,unidade_gestora_academica,tipo_organizacional,tipo_academica
"1264","NÚCLEO DE PSICOLOGIA DE ITABAIANA","NPSI","PSICI     ","118","CAMPUS PROFESSOR ALBERTO CARVALHO","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","118","CAMPUS PROFESSOR ALBERTO CARVALHO","NÚCLEO                                            ","Departamento"
"1263","NÚCLEO DE DIREITO DE ITABAIANA","NDII","DIREI     ","118","CAMPUS PROFESSOR ALBERTO CARVALHO","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","118","CAMPUS PROFESSOR ALBERTO CARVALHO","NÚCLEO                                            ","Departamento"
"1256","NÚCLEO DE ENGENHARIA DE PRODUÇÃO","NEPE","DEPE      ","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","NÚCLEO                                            ","Departamento"
"1255","NÚCLEO DE GESTÃO E EMPREENDEDORISMO","NGEE","DGEE      ","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","NÚCLEO                                            ","Departamento"
"1254","NÚCLEO DE GESTÃO AMBIENTAL","NGAE","DGAE      ","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","NÚCLEO                                            ","Departamento"
"1253","NÚCLEO DE ENGENHARIA TÊXTIL","NETXE","DETXE     ","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","NÚCLEO                                            ","Departamento"
"1252","NÚCLEO DE CIÊNCIA DOS DADOS","NCDE","DCDE      ","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","NÚCLEO                                            ","Departamento"
"1251","NÚCLEO DE BIOTECNOLOGIA","NBTE","DBTE      ","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","1250","CAMPUS DE INOVAÇÃO DE ESTÂNCIA","NÚCLEO                                            ","Departamento"
"833","DEPARTAMENTO DE ENGENHARIA DE PETRÓLEO","DEPET","EPET      ","80","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","80","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","ACESSORIA                                         ","Departamento"
"932","DEPARTAMENTO DE ZOOTECNIA DO SERTÃO","DZOS","ZOOTS     ","931","CAMPUS DO SERTÃO","605","FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE","931","CAMPUS DO SERTÃO","DEPARTAMENTO                                      ","Departamento"
